index,psutil,psutil_virtual
0,346.109375,-8887.55078125
1,346.109375,-8887.55078125
2,354.734375,-8880.046875
3,842.359375,-8397.640625
4,844.109375,-8412.4765625
5,844.109375,-8412.4765625
6,844.109375,-8412.76171875
7,680.2734375,-8459.8671875
8,549.26953125,-8586.5390625
9,549.26953125,-8586.5390625
10,549.26953125,-8586.5390625
11,538.078125,-8595.35546875
12,862.828125,-8319.53125
13,863.078125,-8402.265625
14,863.078125,-8402.265625
15,863.078125,-8402.55859375
16,697.92578125,-8409.4765625
17,538.171875,-8557.98828125
18,538.171875,-8557.98828125
19,538.171875,-8557.98828125
20,538.171875,-8554.890625
21,860.546875,-8435.95703125
22,860.671875,-8464.28515625
23,860.671875,-8464.28515625
24,860.671875,-8464.03125
25,695.515625,-8464.2890625
26,538.01171875,-8617.87890625
27,538.01171875,-8617.87890625
28,538.01171875,-8617.87890625
29,538.13671875,-8607.5390625
30,860.38671875,-8401.0625
31,860.63671875,-8385.09765625
32,860.63671875,-8385.09765625
33,860.63671875,-8385.4921875
34,713.30859375,-8441.03125
35,537.96875,-8594.70703125
36,537.96875,-8594.70703125
37,537.96875,-8594.70703125
38,537.96875,-8595.2890625
39,860.71875,-8345.76953125
40,860.96875,-8354.65625
41,860.96875,-8354.65625
42,860.96875,-8354.91796875
43,713.703125,-8441.65234375
44,538.32421875,-8612.33984375
45,538.32421875,-8612.33984375
46,538.32421875,-8612.33984375
47,538.32421875,-8612.97265625
48,860.82421875,-8357.37109375
49,860.94921875,-8354.2265625
50,860.94921875,-8354.2265625
51,860.94921875,-8362.578125
52,659.86328125,-8409.953125
53,538.36328125,-8548.01953125
54,538.36328125,-8548.01953125
55,538.36328125,-8548.01953125
56,538.36328125,-8549.81640625
57,860.86328125,-8357.66796875
58,860.86328125,-8358.91796875
59,860.86328125,-8358.91796875
60,860.86328125,-8359.2890625
61,713.6796875,-8406.66796875
62,538.30078125,-8590.015625
63,538.30078125,-8590.015625
64,538.30078125,-8590.015625
65,538.30078125,-8605.6171875
66,860.67578125,-8404.19140625
67,860.80078125,-8405.8046875
68,860.80078125,-8405.8046875
69,860.80078125,-8410.21484375
70,695.75390625,-8540.9609375
71,538.25,-8698.95703125
72,538.25,-8698.95703125
73,538.25,-8698.95703125
74,538.25,-8699.2109375
75,860.875,-8361.08203125
76,861.0,-8364.25390625
77,861.0,-8364.25390625
78,861.0,-8364.82421875
79,713.73046875,-8411.91015625
80,538.3515625,-8605.93359375
81,538.3515625,-8605.93359375
82,538.3515625,-8605.93359375
83,538.3515625,-8608.5625
84,860.8515625,-8463.37890625
85,861.1015625,-8461.33203125
86,861.1015625,-8461.33203125
87,861.1015625,-8457.66015625
88,713.74609375,-8460.05859375
89,538.3671875,-8611.8828125
90,538.3671875,-8611.8828125
91,538.3671875,-8611.8828125
92,538.3671875,-8608.58203125
93,861.1171875,-8297.76953125
94,861.2421875,-8351.5390625
95,861.2421875,-8351.5390625
96,861.2421875,-8351.515625
97,713.9921875,-8500.5
98,538.61328125,-8680.1015625
99,538.61328125,-8680.1015625
100,538.61328125,-8680.10546875
101,538.61328125,-8680.8125
102,860.98828125,-8448.51171875
103,861.11328125,-8449.90234375
104,861.11328125,-8449.90234375
105,861.11328125,-8452.0859375
106,677.953125,-8574.01953125
107,538.44921875,-8718.62890625
108,538.44921875,-8718.62890625
109,538.44921875,-8718.62890625
110,538.44921875,-8714.6328125
111,860.82421875,-8430.1875
