index,vram
0,0
1,0
2,0
3,726
4,726
5,1246
6,1246
7,1702
8,1702
9,1702
10,1702
11,1702
12,1702
13,1702
14,1702
15,1702
16,1702
17,1702
18,1702
19,1702
20,1702
21,1702
22,1702
23,1702
24,1702
25,1702
26,1702
27,1702
28,1702
29,1702
30,1702
31,1702
32,1702
33,1702
34,1702
35,1702
36,1702
37,1702
38,1702
39,1702
40,1702
41,1702
42,1702
43,1702
44,1702
45,1702
46,1702
47,1702
48,1702
49,1702
50,1702
51,1702
52,1702
53,1702
54,1702
55,1702
56,1702
57,1702
58,1702
59,1702
60,1702
61,1702
62,1702
63,1702
64,1702
65,1702
66,1702
67,1702
68,1702
69,1702
70,1702
71,1702
72,1702
73,1702
74,1702
75,1702
76,1702
77,1702
78,1702
79,1702
80,1702
81,1702
82,1702
83,1702
84,1702
85,1702
86,1702
87,1702
88,1702
89,1702
90,1702
91,1702
92,1702
93,1702
94,1702
95,1702
96,1702
97,1702
98,1702
99,1702
100,1702
101,1702
102,1702
103,1702
104,1702
105,1702
106,1702
107,1702
108,1702
109,1702
110,1702
111,1702
112,1702
113,1702
114,1702
115,1702
116,1702
117,1702
118,1702
119,1702
120,1702
121,1702
122,1702
123,1702
124,1702
125,1702
126,1702
127,1702
128,1702
129,1702
130,1702
131,1702
132,1702
133,1702
134,1702
135,1702
136,1702
137,1702
138,1702
139,1702
140,1702
141,1702
142,1702
143,1702
144,1702
145,1702
146,1702
147,1702
148,1702
149,1702
150,1702
151,1702
152,1702
153,1702
154,1702
155,1702
156,1702
157,1702
158,1702
159,1702
160,1702
161,1702
162,1702
163,1702
164,1702
165,1702
166,1702
167,1702
168,1702
169,1702
170,1702
171,1702
172,1702
173,1702
174,1702
175,1702
176,1702
177,1702
178,1702
179,1702
180,1702
181,1702
182,1702
183,1702
184,1702
185,1702
186,1702
187,1702
188,1702
189,1702
190,1702
191,1702
192,1702
193,1702
194,1702
195,1702
196,1702
197,1702
198,1702
199,1702
200,1702
201,1702
202,1702
203,1702
204,1702
205,1702
206,1702
207,1702
208,1702
209,1702
210,1702
211,1702
212,1702
213,1702
214,1702
215,1702
216,1702
217,1702
218,1702
219,1702
220,1702
221,1702
222,1702
223,1702
224,1702
225,1702
226,1702
227,1702
228,1702
229,1702
230,1702
231,1702
232,1702
233,1702
234,1702
235,1702
236,1702
237,1702
238,1702
239,1702
240,1702
241,1702
242,1702
243,1702
244,1702
245,1702
246,1702
247,1702
248,1702
249,1702
250,1702
251,1702
252,1702
253,1702
254,1702
255,1702
256,1702
257,1702
258,1702
259,1702
260,1702
261,1702
262,1702
263,1702
264,1702
265,1702
266,1702
267,1702
268,1702
269,1702
270,1702
271,1702
272,1702
273,1702
274,1702
275,1702
276,1702
277,1702
278,1702
279,1702
280,1702
281,1702
282,1702
283,1702
284,1702
285,1702
286,1702
287,1702
288,1702
289,1702
290,1702
291,1702
292,1702
293,1702
294,1702
295,1702
296,1702
297,1702
298,1702
299,1702
300,1702
301,1702
302,1702
303,1702
304,1702
305,1702
306,1702
307,1702
308,1702
309,1702
310,1702
311,1702
312,1702
313,1702
314,1702
315,1702
316,1702
317,1702
318,1702
319,1702
320,1702
321,1702
322,1702
323,1702
324,1702
325,1702
326,1702
327,1702
328,1702
329,1702
330,1702
331,1702
332,1702
333,1702
334,1702
335,1702
336,1702
337,1702
338,1702
339,1702
340,1702
341,1702
342,1702
343,1702
344,1702
345,1702
346,1702
347,1702
348,1702
349,1702
350,1702
351,1702
352,1702
353,1702
354,1702
355,1702
356,1702
357,1702
358,1702
359,1702
360,1702
361,1702
362,1702
363,1702
364,1702
365,1702
366,1702
367,1702
368,1702
369,1702
370,1702
371,1702
372,1702
373,1702
374,1702
375,1702
376,1702
377,1702
378,1702
379,1702
380,1702
381,1702
382,1702
383,1702
384,1702
385,1702
386,1702
387,1702
388,1702
389,1702
390,1702
391,1702
392,1702
393,1702
394,1702
395,1702
396,1702
397,1702
398,1702
399,1702
400,1702
401,1702
402,1702
403,1702
404,1702
405,1702
406,1702
407,1702
408,1702
409,1702
410,1702
411,1702
412,1702
413,1702
414,1702
415,1702
416,1702
417,1702
418,1702
419,1702
420,1702
421,1702
422,1702
423,1702
424,1702
425,1702
426,1702
